"unified_content","postid","code"
"Girl dies after classmate gives her peanut","116410",1
"http://www.upi.com/Top_News/US/2012/01/12/Girl-dies-after-classmate-gives-her-peanut/UPI-66231326412278/","1878986",1
"I am uneducated on this topic but why does it seem there are way more peanut allergy people than ever before.  Did these people die young in the past and it was never explained?","1879053",1
"A different story about this little girl included an interview with the mother, who said that she took the girl's epipen and asthma medicines to school at the beginning of the school year but was told to take her medicines back home.  The CNN article went on to state that the school clinic did not administer any medications. 





When I took my daughter's epipen to her school, I was told that they did not have a nurse and it was against school policy for a teacher to administer it.  Luckliy, however, the school secretary said that she would administer it if needed.","1879080",1
"There is no definite answer on this, but maybe the later age of  introduction of peanuts in the USA to children has something to do with it. Peanut were generally recommended to be started at age 2 years. Other countries introduce peanut products much earlier even as infants. The US recommendation is now 6 months or older, but only in peanut butter form.","1879082",1
"Can or should the school use someone else's EpiPen?","1879088",1
"This is why I got to be a school physician for my district. Illinois passed a law that said the school nurse can have an EPI to hold. I worked to get it passed.  I have had to be the one the rx it for the whole damn district. I take all the risk but god damn it if I save one little kid then risk is worth it. I galls me that other districts called to say no allergist would do the rx for the school nurses would I do it? I just couldnt take that risk I have never met any of the RNs there but I thought about it. It is a shame this child died. BTW my wonderful 22 is peanut anaphylaxis child and she has had to have epi X4 in her life. I cannot imagine life without her. Today in fact on vacation she asked that if she died would I have party at her wake celebrating her life not crying about her death! Wow that made me tell her I loved her and although that is her wish I would not be able to do it. My kid hold about 50% of my whole life happiness.","1879093",1
"@{redacted}





Sometimes, no matter how good the intentions, if it works - you're a hero.  If it doesn't work, your ass is grass.","1879097",1
"Peanuts are evolving to keep themselves frim being eaten.","1879100",1
"We fired a first grade teacher at our private school for failing to respond appropriately to a child's asthma attack.

The boy, who had been in the ICU for several days earlier that year, had a severe attack returning from a hike. The teacher did not have his rescue inhaler, despite explicit directions from the parents that it be immediately available at all times. In fact, she had left it across campus at the administration building earlier that semester.

Another child's parent was along for the hike and sprinted to get the inhaler. When he returned and tried to give it to the boy, the teacher intervened and insisted the gasping, tachypneic child had to *wash his hands* first, with the washroom located in another building a courtyard away. The parent wrenched the inhaler back away from the teacher and assisted the child with it, probably saving his life.

There is actually a law in our state that prohibits school personnel from keeping asthma medications away from children, so long as the medication is properly prescribed by a physician. But most school systems are badly misinformed about proper management of asthmatic or allergic respiratory distress.","1879123",1
"Are there no desensitizing series for peanuts?","1879125",1
"Food allergies on the whole are increasing.  Peanuts are just one of many but more likely to affect children.  Loose analogy in a couple of studies showing increased risk in children born to mothers who ate peanuts during pregnancy or breastfeeding and that eating local honey reduces the risk of developing food and environmental allergies.  Apparently the school nurse didn't have a clue on how to perform CPR?  No AED on site?  stupid nurse. 

Yet another reason to homeschool.......","1879128",1
"@{redacted}-----Clinical trials are ongoing for peanut tolerance of the equivalent of 2 peanuts with no reaction as the goal.","1879151",1
"Horrible story.

In a better world, schools would have epipens, and teachers/school RNs would easily be able to learn how to adminster them if needed.  Frankly, a pedi-epipen is a pretty damned safe medication in a child.","1879166",1
"School should have used the EpiPen they had. Period. But then the family of the child who the pen was prescribed for would sue the school for using their child's pen...","1879205",1
"Wow, someone is gonna pay big time for this.  And who would not administer an Epipen to a dying child???","1879206",1
"Re: the story that stated ""the mother, who said that she took the girl's epipen and asthma medicines to school at the beginning of the school year but was told to take her medicines back home. The CNN article went on to state that the school clinic did not administer any medications.""





Whoever at the school told the mother that the medications should be taken home, should probably be charged with manslaughter, in my non-lawyer opinion. Same goes for whomever refused to give lifesaving treatment to a child with a known medical condition, with a known treatment for this condition, which was available. 





A few charges of manslaughter would 'learn 'em.'  And maybe save more children's lives in the future.","1879229",1
"Our local elementary schools are staffed by LPNs, part time LPN's.  
Teachers are often young adults with no healthcare background nor experience.  Teacher's don't treat illness, it's not in their job description, they have no formal training, and I would bet that few of them would recognize a truly sick/crashing child until it was too late.  Keeping a sane head during a patient's asthma attach is not the same thing as keeping control of/educating  20+ kids in a classroom, very different skill sets.  So blaming the teacher for not giving another child's epi pen is not appropriate.  This falls under the ""bad things happen"" heading.  It is tragic, but realistically it was unavoidable.","1879276",1
"If the parents educated the school about the medical condition, taught them a simple way to save their child's life, and the school acted appropriately, the death would have been totally avoidable.","1879286",1
"From the article linked, it sounds like the teacher acted appropriately, taking the child to the school clinic.  For some reason the child was not treated once at the clinic:


  


""Johnson approached a teacher after she noticed hives and shortness of breath. She was taken to the school clinic, where she stopped breathing, police said.





""When emergency crews arrived, she was already in cardiac arrest in the clinic,"" said Lt. Jason Elmore, a spokesman for the Chesterfield County Fire Department.











...A proposed bill that would require schools to keep EpiPens in stock may change how students with severe allergies are treated in emergency situations on school property.





""No one in this country has ever been sued for giving epinephrine, to my knowledge,"" said Acebal. ""All the lawsuits come about because school officials don't give it when it's needed.""""











Read more: http://www.upi.com/Top_News/US/2012/01/12/Girl-dies-after-classmate-gives-her-peanut/UPI-66231326412278/#ixzz1jNN8ENR3","1879297",1
"Well, to be devils advocate, unless these teachers and school officials feel like they adequate protection, they're not going to act.  Are you as a tax payer and or private schooler, willing to pay more for their medical training, and/or insurance premiums to cover the liability for the medical care you're expecting them to provide?","1879299",1
"{redacted}, and {redacted}, are you saying an LPN at a school clinic can't give epinephrine to a child with a known peanut allergy, who was give a prescription for an epi pen?  





As for paying for ""insurance premiums to cover the liability for the medical care"" they're expected to provide - how much do you think it will cost to cover the lawsuit the school is going to face over a dead child?","1879312",1
"And seriously, yes, if it cost a little more to get a properly trained nurse to save a child, as a taxpayer, I'd pay in one second.  You wouldn't, seriously?  You wouldn't have the least bit of trouble sleeping at night, knowing that a child died in your school system to save you $5 a year?","1879317",1
"Actually, if YOUR school system didn't have enough money to pay for a properly trained nurse (and my kids' public school system had great nurses, BTW) then maybe you could volunteer to show your LPN how to administer an epi pen, to save a life.  If you think the extra tax money is too much for you, that is.","1879318",1
"That is so sweet and beautiful, {redacted}.  You have a very special heart.","1879383",1
"I honestly don't know what the school district allows the LPN at our local elementary to do (when she's there).  I know the LPN cannot/is not allowed to administer tylenol to a child (been in that situation, so that much I do know).  I know that this is the first year that our elementary school has had a child with a known peanut allergy and it has scared the living crap out of the entire school, teachers and custodians, kitchen workers, and office staff.  

The child deliberately exposed herself to the thing that she knew could kill her...life is not fair, it just is not fair.  To sit in the armchair and say ""an epipen would have saved her"" presumes evidence not in existence (I vaguely remember that phrase from Law and Order).","1879385",1
"School teachers and administrators are all scared crapless to be sued about any little problem from the hypersensitive helicopter parents that we have these days.  So, in this case it appears to have cost a child their life.  Schools are threated with lawsuits all the time for any number of stupid things and this is now the end result.  Pathetic.","1879389",1
"I'm from the government and I'm here to help you.","1879394",1
"A hit of reality from {redacted}.  

<Keeping a sane head during a patient's asthma attach is not the same thing as keeping control of/educating 20+ kids in a classroom, very different skill sets. So blaming the teacher for not giving another child's epi pen is not appropriate. >

There is no way in hell a person would survive unscathed giving unprescribed medication (in fact one that actually was prescribed for someone else) unless there was a clear protocol in place, appropriate training, and in this case EpiPen Rx'd to school for just this purpose.  

""When it comes to a life-threatening allergic reaction, it's so simple to save that life,"" said Maria Acebal, chief executive officer of the Food Allergy and Anaphylaxis Network, based in Fairfax, Va. ""I have no doubt that the school where this little girl went had an EpiPen in the office -- it just didn't have Ammaria's name on it.""

This person is just being an asshole.   

""No one in this country has ever been sued for giving epinephrine, to my knowledge,"" said Acebal. ""All the lawsuits come about because school officials don't give it when it's needed.""

Which includes possibly not immediately recognizing when it is needed, 100% of the time.  And I just find that unfair.  

What about the teachers who have brittle diabetics in their classes, who, in addition to educating the 20+ students (according to their individual plans, of course), they are also responsible for recognizing early hypoglycemia in one child....administering insulin to another child....dealing with yet another child's different but potentially serious condition? There are a lot of things involving different systems (not the least of which being legal) that would have to change before I could sign on to the idea that the people we pay to educate our kids should be responsible for all of this.   RN in a controlled setting has to jump through 5 hoops just to hand someone a plain Tylenol!!  

This is one of those things where society will eventually have to prioritize what is important (to bitch/sue over) and what isn't.  Can't have it both ways.","1879407",1
"Or...what {redacted} said!","1879415",1
"Twenty years ago, I had to loosely stitch my daughter's epi pen into her backpack so she had access to it at school. Apparently things have not changed much. But this is a good wake-up to find out what the regulations are in the local school district.","1879417",1
"Some schools do not let children bring any treats to class anymore to celebrate a birthday or holiday for fear that something allergenic could be in it. Kids with allergies have their own table to sit at in the lunch room so as not to be exposed to anything.
All the teachers at my daughter's school were all CPR trained and also trained to administer any emergency meds that a child in their class might. Of course this was a private school","1879428",1
